"QB","Tony Romo",5100,"TB@Dal 08:30PM ET",0.000,"Dal"
"WR","Cole Beasley",5100,"TB@Dal 08:30PM ET",12.754,"Dal"
"QB","Brock Osweiler",5100,"Jax@Hou 01:00PM ET",12.757,"Hou"
"RB","Derrick Henry",5100,"Ten@KC 01:00PM ET",5.277,"Ten"
"WR","Dontrelle Inman",5100,"Oak@SD 04:25PM ET",10.823,"SD"
"QB","Matt Barkley",5000,"GB@Chi 01:00PM ET",11.810,"Chi"
"QB","David Fales",5000,"GB@Chi 01:00PM ET",0,"Chi"
"QB","Brett Hundley",5000,"GB@Chi 01:00PM ET",-0.173,"GB"
"QB","Mark Sanchez",5000,"TB@Dal 08:30PM ET",0.060,"Dal"
"QB","Mike Glennon",5000,"TB@Dal 08:30PM ET",4.500,"TB"
"QB","Ryan Griffin",5000,"TB@Dal 08:30PM ET",0,"TB"
"QB","Chad Henne",5000,"Jax@Hou 01:00PM ET",-0.200,"Jax"
"QB","Brandon Weeden",5000,"Jax@Hou 01:00PM ET",0,"Hou"
"QB","Tom Savage",5000,"Jax@Hou 01:00PM ET",0,"Hou"
"QB","Blake Bortles",5000,"Jax@Hou 01:00PM ET",19.314,"Jax"
"QB","Brandon Allen",5000,"Jax@Hou 01:00PM ET",0,"Jax"
"WR","DeAndre Hopkins",5000,"Jax@Hou 01:00PM ET",12.085,"Hou"
"QB","Josh McCown",5000,"Cle@Buf 01:00PM ET",13.620,"Cle"
"QB","Robert Griffin III",5000,"Cle@Buf 01:00PM ET",11.280,"Cle"
"QB","EJ Manuel",5000,"Cle@Buf 01:00PM ET",1.020,"Buf"
"QB","Cody Kessler",5000,"Cle@Buf 01:00PM ET",10.320,"Cle"
"QB","Kevin Hogan",5000,"Cle@Buf 01:00PM ET",5.415,"Cle"
"QB","Cardale Jones",5000,"Cle@Buf 01:00PM ET",0,"Buf"
"QB","Chase Daniel",5000,"Phi@Bal 01:00PM ET",0.000,"Phi"
"QB","Ryan Mallett",5000,"Phi@Bal 01:00PM ET",-0.013,"Bal"
"QB","Carson Wentz",5000,"Phi@Bal 01:00PM ET",15.346,"Phi"
"QB","Matt Cassel",5000,"Ten@KC 01:00PM ET",0.167,"Ten"
"QB","Nick Foles",5000,"Ten@KC 01:00PM ET",14.000,"KC"
"QB","Tyler Bray",5000,"Ten@KC 01:00PM ET",0,"KC"
"QB","Dan Orlovsky",5000,"Det@NYG 01:00PM ET",0,"Det"
"QB","Josh Johnson",5000,"Det@NYG 01:00PM ET",0,"NYG"
"QB","Ryan Nassib",5000,"Det@NYG 01:00PM ET",0,"NYG"
"QB","Jake Rudock",5000,"Det@NYG 01:00PM ET",0,"Det"
"RB","Ameer Abdullah",5000,"Det@NYG 01:00PM ET",13.400,"Det"
"QB","Shaun Hill",5000,"Ind@Min 01:00PM ET",3.493,"Min"
"QB","Scott Tolzien",5000,"Ind@Min 01:00PM ET",5.470,"Ind"
"QB","Sam Bradford",5000,"Ind@Min 01:00PM ET",14.588,"Min"
"QB","Taylor Heinicke",5000,"Ind@Min 01:00PM ET",0.000,"Min"
"RB","Adrian Peterson",5000,"Ind@Min 01:00PM ET",3.850,"Min"
"QB","Drew Stanton",5000,"NO@Ari 04:05PM ET",3.265,"Ari"
"QB","Luke McCown",5000,"NO@Ari 04:05PM ET",0,"NO"
"QB","Matt Schaub",5000,"SF@Atl 04:05PM ET",-0.050,"Atl"
"QB","Christian Ponder",5000,"SF@Atl 04:05PM ET",0,"SF"
"QB","Blaine Gabbert",5000,"SF@Atl 04:05PM ET",13.283,"SF"
"RB","Tevin Coleman",5000,"SF@Atl 04:05PM ET",14.810,"Atl"
"QB","Austin Davis",5000,"NE@Den 04:25PM ET",0,"Den"
"QB","Jimmy Garoppolo",5000,"NE@Den 04:25PM ET",9.235,"NE"
"QB","Paxton Lynch",5000,"NE@Den 04:25PM ET",9.793,"Den"
"RB","LeGarrette Blount",5000,"NE@Den 04:25PM ET",16.150,"NE"
"QB","Kellen Clemens",5000,"Oak@SD 04:25PM ET",-0.011,"SD"
"QB","Matt McGloin",5000,"Oak@SD 04:25PM ET",0.000,"Oak"
"QB","Connor Cook",5000,"Oak@SD 04:25PM ET",0.000,"Oak"
"QB","Landry Jones",5000,"Pit@Cin 01:00PM ET",1.977,"Pit"
"QB","Zach Mettenberger",5000,"Pit@Cin 01:00PM ET",0.000,"Pit"
"QB","AJ McCarron",5000,"Pit@Cin 01:00PM ET",0.000,"Cin"
"QB","Jeff Driskel",5000,"Pit@Cin 01:00PM ET",0,"Cin"
"RB","Alfred Morris",4900,"TB@Dal 08:30PM ET",2.915,"Dal"
"TE","Zach Ertz",4900,"Phi@Bal 01:00PM ET",11.673,"Phi"
"WR","Mohamed Sanu",4900,"SF@Atl 04:05PM ET",9.277,"Atl"
"WR","Ty Montgomery",4800,"GB@Chi 01:00PM ET",7.842,"GB"
"WR","Mike Wallace",4800,"Phi@Bal 01:00PM ET",14.767,"Bal"
"RB","Charcandrick West",4800,"Ten@KC 01:00PM ET",5.017,"KC"
"WR","Adam Thielen",4800,"Ind@Min 01:00PM ET",11.992,"Min"
"WR","Jeremy Maclin",4700,"Ten@KC 01:00PM ET",9.122,"KC"
"WR","Marvin Jones Jr.",4700,"Det@NYG 01:00PM ET",13.000,"Det"
"RB","Mark Ingram",4700,"NO@Ari 04:05PM ET",14.500,"NO"
"WR","Malcolm Mitchell",4700,"NE@Den 04:25PM ET",6.700,"NE"
"WR","Brandon LaFell",4700,"Pit@Cin 01:00PM ET",10.092,"Cin"
"WR","Randall Cobb",4600,"GB@Chi 01:00PM ET",12.608,"GB"
"RB","Mike Gillislee",4600,"Cle@Buf 01:00PM ET",7.908,"Buf"
"WR","Rishard Matthews",4600,"Ten@KC 01:00PM ET",12.577,"Ten"
"WR","Sterling Shepard",4600,"Det@NYG 01:00PM ET",11.215,"NYG"
"WR","Tyler Boyd",4600,"Pit@Cin 01:00PM ET",8.454,"Cin"
"RB","Rashad Jennings",4500,"Det@NYG 01:00PM ET",11.280,"NYG"
"WR","Anquan Boldin",4500,"Det@NYG 01:00PM ET",11.162,"Det"
"RB","Alfred Blue",4400,"Jax@Hou 01:00PM ET",3.227,"Hou"
"WR","Allen Robinson",4400,"Jax@Hou 01:00PM ET",12.454,"Jax"
"RB","Frank Gore",4400,"Ind@Min 01:00PM ET",14.208,"Ind"
"RB","Kenneth Farrow",4400,"Oak@SD 04:25PM ET",2.018,"SD"
"RB","Jamaal Charles",4300,"Ten@KC 01:00PM ET",4.467,"KC"
"TE","Kyle Rudolph",4300,"Ind@Min 01:00PM ET",11.638,"Min"
"RB","Fitzgerald Toussaint",4300,"Pit@Cin 01:00PM ET",0.485,"Pit"
"WR","Cameron Meredith",4200,"GB@Chi 01:00PM ET",11.400,"Chi"
"RB","Jacquizz Rodgers",4200,"TB@Dal 08:30PM ET",9.013,"TB"
"RB","Devontae Booker",4200,"NE@Den 04:25PM ET",7.954,"Den"
"RB","T.J. Yeldon",4100,"Jax@Hou 01:00PM ET",9.769,"Jax"
"WR","Will Fuller V",4100,"Jax@Hou 01:00PM ET",10.364,"Hou"
"RB","Isaiah Crowell",4100,"Cle@Buf 01:00PM ET",13.285,"Cle"
