62,1,17,15,0,2,15.7,304,4,61,57,0,6,69.1,349,4,68,70,0,7,75.89999999999999,7.800000000000001
210,1,22,17,0,2,33.7,300,4,48,17,0,2,60.7,374,4,76,18,0,4,70.2,22.400000000000002
143,0,22,23,0,4,23.6,267,3,62,29,0,7,57.6,444,4,96,67,0,13,91.1,22.9
109,0,15,15,0,3,18.4,264,1,59,32,1,5,49.599999999999994,385,1,90,47,1,8,66.19999999999999,4.3
44,1,16,1,0,2,12.5,238,2,61,29,0,5,46.7,455,3,106,34,0,6,78.9,27.900000000000002
48,1,10,0,0,0,10.8,222,3,33,55,0,1,49.699999999999996,363,3,56,63,0,3,69.6,3.7
50,0,16,78,0,6,18.8,213,0,60,109,0,11,43.2,434,0,104,170,0,20,86.4,17.299999999999997
33,0,7,2,0,1,4.5,192,0,49,6,0,3,22.8,342,1,91,6,0,3,43.8,16.700000000000003
152,2,30,20,0,2,34.2,192,2,48,39,0,4,51.5,372,4,89,123,0,13,89.5,24.9
74,2,21,14,0,3,24.64,189,4,41,14,0,3,65.64,443,6,93,64,0,9,102.54,10.8
83,0,23,12,0,3,12.5,173,0,62,22,0,7,26.5,289,0,105,63,0,10,45.2,6.6000000000000005
26,0,5,0,0,0,2.6,168,0,42,31,0,5,27.900000000000002,228,0,61,88,0,14,48.60000000000001,7.000000000000001
77,1,16,0,0,0,13.7,162,1,42,30,0,7,32.199999999999996,179,1,51,89,1,15,53.8,7.700000000000001
99,0,15,46,0,3,17.5,160,0,29,83,0,8,32.3,264,0,55,107,0,11,48.1,0.6000000000000001
72,0,15,0,0,0,7.2,158,1,34,46,0,4,58.0,284,3,48,42,0,5,58.6,5.4
68,0,11,70,0,3,16.8,153,1,27,81,0,4,51.800000000000004,316,2,61,132,1,11,73.80000000000001,29.2
123,1,16,10,0,3,25.3,150,1,28,27,0,4,30.700000000000003,190,1,38,27,0,4,34.7,10.3
110,1,17,0,0,0,20.0,149,2,27,6,0,1,35.1,248,2,50,69,0,8,54.7,8.5
43,0,19,102,1,6,29.500000000000004,147,1,53,185,2,14,68.2,257,1,82,247,2,20,91.4,24.9
23,0,15,37,0,5,11.0,144,1,27,56,0,7,52.6,294,1,86,129,0,18,69.30000000000001,8.9
210,1,22,17,0,2,22.400000000000002,300,4,48,17,0,2,72.30000000000001,374,4,76,18,0,4,86.30000000000001,17.0
143,0,22,23,0,4,22.9,267,3,62,29,0,7,68.0,444,4,96,67,0,13,92.4,21.1
152,2,30,20,0,2,24.9,192,2,48,39,0,4,67.0,308,4,78,113,0,11,96.5,18.8
50,0,16,78,0,6,17.299999999999997,213,0,60,109,0,11,48.99999999999999,434,0,104,170,0,20,84.8,28.599999999999998
90,0,24,17,0,3,25.1,90,0,24,17,0,3,52.9,296,2,80,50,0,8,80.1,8.1
48,1,10,0,0,0,3.7,222,3,33,55,0,1,47.0,363,3,56,63,0,3,66.8,8.1
21,0,11,15,0,2,4.7,138,0,42,15,0,2,25.0,233,0,67,70,0,6,30.6,6.9
30,1,13,16,0,2,11.0,127,4,35,16,0,2,51.300000000000004,297,5,85,21,0,3,83.9,24.1
33,0,7,2,0,1,16.700000000000003,192,0,49,6,0,3,29.700000000000003,342,1,91,6,0,3,54.7,12.7
110,1,17,0,0,0,8.5,149,2,27,6,0,1,40.0,249,2,47,52,0,6,54.5,20.700000000000003
87,0,23,11,0,1,12.0,129,0,44,34,0,3,26.5,137,0,46,30,0,5,33.7,16.9
61,0,19,11,0,2,11.7,134,0,44,110,0,13,39.4,134,0,44,110,0,13,49.1,7.9
34,0,12,23,0,5,43.8,48,1,18,49,0,8,67.5,330,5,75,120,0,21,119.5,33.300000000000004
34,0,9,9,0,2,15.8,117,0,25,20,0,5,36.5,468,2,78,126,1,16,106.4,40.9
0,0,1,0,0,0,29.4,23,0,5,0,0,0,32.5,23,0,5,0,0,0,32.5,1.8
43,0,19,102,1,6,24.9,147,1,53,185,2,14,70.2,257,1,82,247,2,20,107.39999999999999,3.1
0,0,0,0,0,0,29.2,85,1,16,11,0,1,62.6,248,2,50,62,1,8,89.2,8.8
69,0,14,74,1,7,44.400000000000006,172,0,25,123,1,12,94.9,364,1,63,208,1,23,125.60000000000001,21.8
70,0,18,30,0,3,9.3,70,0,18,30,0,3,24.7,125,1,31,31,0,4,24.7,17.6
152,2,30,20,0,2,18.8,192,2,48,39,0,4,77.9,293,3,73,91,0,10,95.20000000000002,33.1
128,0,17,0,0,0,40.9,211,0,33,11,0,3,63.0,562,2,86,117,1,14,88.9,34.0
133,3,33,45,0,5,33.300000000000004,147,4,39,71,0,8,87.8,429,8,96,142,0,21,140.5,22.400000000000002
90,0,24,17,0,3,8.1,141,0,35,67,0,7,46.900000000000006,248,2,65,95,0,11,72.4,15.600000000000001
120,1,27,16,0,2,27.900000000000002,194,1,45,28,0,3,65.0,487,3,111,65,0,8,89.69999999999999,20.700000000000003
30,1,13,16,0,2,24.1,127,4,35,16,0,2,47.7,248,5,72,16,0,2,87.0,35.0
110,1,17,0,0,0,20.700000000000003,149,2,27,6,0,1,49.2,183,2,41,55,0,5,64.3,4.800000000000001
70,0,18,30,0,3,17.6,85,0,25,29,0,4,39.900000000000006,140,1,38,30,0,5,42.300000000000004,5.0
33,0,7,2,0,1,12.7,192,0,49,6,0,3,33.900000000000006,342,1,91,6,0,3,52.2,7.800000000000001
72,0,15,0,0,0,24.0,158,1,34,46,0,4,36.6,158,1,34,42,0,5,87.4,19.1
21,0,5,0,0,0,10.3,27,0,12,17,0,1,37.7,99,0,32,26,0,3,42.7,14.200000000000001
34,1,15,0,0,0,4.9,34,1,15,0,0,0,22.3,263,2,60,9,0,1,22.3,1.7000000000000002
77,2,10,117,0,10,21.8,180,2,21,166,0,15,93.5,372,3,59,251,0,26,134.2,27.500000000000004
57,1,19,17,1,2,4.3,155,1,44,17,1,2,44.099999999999994,338,1,91,42,1,6,59.69999999999999,0.4
29,0,12,7,0,1,4.7,53,0,19,7,0,1,26.0,80,0,28,7,0,1,28.2,7.2
23,0,15,37,0,5,26.1,144,1,27,56,0,7,46.0,228,1,65,89,0,12,87.6,16.7
13,0,5,0,0,0,17.200000000000003,27,0,11,15,0,2,30.200000000000003,157,1,40,25,0,4,51.400000000000006,16.5
152,2,30,20,0,2,33.1,192,2,48,39,0,4,76.80000000000001,335,3,75,81,0,9,118.90000000000002,13.200000000000001
30,1,13,16,0,2,35.0,127,4,35,16,0,2,70.1,288,6,78,21,0,3,110.39999999999999,14.100000000000001
