417,2,35,23,1,27.78,1027,7,98,72,2,74.18,1524,9,164,117,4,112.96000000000001,11.1
392,4,40,28,1,33.58,987,7,112,74,3,70.78,1644,14,186,125,4,130.96,19.46
380,6,34,29,0,42.2,853,9,99,69,0,80.12,1346,10,188,117,1,103.04,25.82
278,3,29,21,0,23.12,781,7,84,63,1,58.84,1237,11,157,110,2,95.18,15.26
259,1,35,23,1,13.559999999999999,760,4,110,64,3,47.400000000000006,1128,8,170,99,5,84.32000000000001,29.32
358,2,37,29,1,25.22,742,4,74,55,2,80.74,1456,8,164,106,2,113.53999999999999,24.14
309,3,44,36,1,26.36,662,5,85,67,2,83.44,1645,12,181,133,4,124.5,21.299999999999997
178,1,31,14,1,10.020000000000001,643,6,75,42,2,47.620000000000005,1134,10,137,81,2,87.36000000000001,10.620000000000001
351,2,34,20,0,25.54,606,2,76,45,1,47.14,1341,6,165,96,4,88.84,30.54
276,2,41,32,1,18.04,578,4,79,58,1,59.4,1441,8,201,138,5,90.14,11.94
186,0,32,17,0,9.040000000000001,566,4,105,55,0,45.54,897,7,162,93,2,72.08,7.28
369,4,30,23,0,34.36,559,4,62,43,0,50.14,1400,13,159,110,2,116.79999999999998,25.22
269,0,46,22,0,11.56,533,3,67,38,0,37.120000000000005,612,5,85,48,1,55.980000000000004,9.74
274,1,33,20,0,15.06,528,4,69,41,0,58.94,1519,7,183,108,3,99.36,24.52
185,2,33,19,2,14.200000000000001,514,4,65,41,3,51.52,1162,9,156,101,4,88.38000000000001,14.52
147,0,17,11,1,9.379999999999999,493,3,89,50,5,39.32,529,3,99,54,5,42.26,7.94
224,1,28,17,2,11.760000000000002,452,1,74,37,2,21.48,622,1,119,56,4,28.18,0.43999999999999995
300,2,43,27,2,24.4,441,4,71,45,2,67.62,1201,10,172,110,7,97.53999999999999,11.440000000000001
119,0,29,10,5,0.3599999999999999,429,1,80,36,8,16.759999999999998,763,4,132,67,9,47.919999999999995,16.119999999999997
122,1,24,9,1,7.779999999999999,414,2,89,37,3,27.86,506,2,108,48,6,28.54,3.26
89,0,16,9,1,3.16,404,3,61,38,4,27.160000000000004,986,5,137,88,5,65.34,19.16
392,4,40,28,1,19.46,987,7,112,74,3,78.38,1644,14,186,125,4,116.74,11.42
278,3,29,21,0,15.26,781,7,84,63,1,51.46,1237,11,157,110,2,96.24,25.759999999999998
276,2,41,32,1,11.94,578,4,79,58,1,53.059999999999995,1109,7,149,108,3,88.96000000000001,13.48
185,2,33,19,2,14.52,514,4,65,41,3,58.18,963,9,128,84,4,86.14000000000001,13.46
269,0,46,22,0,9.74,533,3,67,38,0,46.86,612,5,85,48,1,46.86,24.1
369,4,30,23,0,25.22,369,4,30,23,0,67.68,1210,13,127,90,2,101.70000000000002,22.62
0,0,0,0,0,30.54,255,0,42,25,1,65.28,990,4,131,76,4,90.06,23.240000000000002
358,2,37,29,1,24.14,358,2,37,29,1,76.32,1072,6,127,80,1,123.61999999999999,28.68
178,1,31,14,1,10.620000000000001,643,6,75,42,2,35.56,1134,10,137,81,2,73.58,14.280000000000001
65,1,17,9,2,13.0,246,2,42,25,3,31.04,627,3,100,57,8,61.160000000000004,8.299999999999999
186,1,31,22,2,26.4,450,3,78,49,3,54.5,1289,9,182,117,5,90.58000000000001,11.5
330,2,48,35,1,18.26,573,4,77,55,1,59.18000000000001,1236,7,165,104,1,83.88000000000001,7.18
300,2,43,27,2,11.440000000000001,300,2,43,27,2,56.28,1060,8,144,92,7,96.3,11.2
0,0,0,0,0,21.299999999999997,353,2,41,31,1,71.67999999999999,1336,9,137,97,3,128.15999999999997,16.880000000000003
274,1,33,20,0,24.52,274,1,33,20,0,61.84,1265,4,147,87,3,110.9,12.760000000000002
188,0,31,18,0,17.5,511,3,68,45,0,56.84,1129,5,169,100,1,95.28000000000002,5.760000000000001
0,0,0,0,0,6.4399999999999995,115,1,22,14,0,34.08,207,1,41,24,1,36.96,7.98
213,1,34,22,1,3.6000000000000005,301,2,41,29,1,22.64,617,3,105,61,1,33.46,6.14
119,0,29,10,5,16.119999999999997,429,1,80,36,8,27.959999999999994,763,4,132,67,9,53.72,25.200000000000003
369,4,30,23,0,22.62,559,4,62,43,0,82.2,1228,13,130,94,2,97.98000000000002,19.6
392,4,40,28,1,11.42,987,7,112,74,3,64.46000000000001,1644,14,186,125,4,101.66000000000001,19.54
358,2,37,29,1,28.68,742,4,74,55,2,78.03999999999999,1187,6,141,93,2,133.56,24.240000000000002
274,1,33,20,0,12.760000000000002,528,4,69,41,0,52.34,1216,7,150,90,3,96.22000000000001,19.86
300,2,43,27,2,11.2,441,4,71,45,2,47.04,954,7,145,89,6,90.26,30.459999999999997
276,2,41,32,1,13.48,578,4,79,58,1,43.46,1198,6,175,114,5,84.82,30.74
215,2,33,19,0,25.82,473,3,65,40,0,84.52000000000001,1344,6,207,127,2,121.02000000000001,21.78
185,2,33,19,2,13.46,514,4,65,41,3,42.18,942,6,129,80,3,79.5,9.0
269,0,46,22,0,24.1,533,3,67,38,0,45.400000000000006,612,5,85,48,1,70.96000000000001,11.08
178,1,31,14,1,14.280000000000001,643,6,75,42,2,34.92,1134,10,137,81,2,72.52000000000001,16.6
277,3,30,23,1,11.1,610,5,63,49,1,60.66,1470,8,172,127,5,105.62,20.02
0,0,0,0,0,16.880000000000003,309,3,44,36,1,64.53999999999999,1292,10,140,102,3,121.61999999999998,18.919999999999998
0,0,0,0,0,23.240000000000002,351,2,34,20,0,79.32,1086,6,123,71,3,100.92,17.98
