159,1,8,32.9,357,2,23,76.7,496,2,33,100.60000000000001,1.3
176,0,6,26.6,307,1,14,53.7,392,2,21,75.20000000000002,27.6
135,0,8,24.5,302,2,18,66.2,537,4,32,118.69999999999999,8.2
150,2,10,40.0,284,3,24,73.4,377,3,36,94.7,30.300000000000004
250,2,10,50.0,269,2,13,54.9,331,3,15,69.1,38.1
56,1,4,15.600000000000001,266,3,12,66.0,385,4,27,92.5,17.0
44,0,4,8.4,248,2,18,57.8,445,4,35,109.5,10.9
83,0,5,13.3,247,0,14,41.7,278,0,16,46.8,3.2
139,1,6,28.9,241,1,13,46.099999999999994,354,1,21,65.4,3.5
103,0,5,18.3,221,2,15,52.1,366,3,24,81.6,36.8
78,2,7,26.8,220,2,17,51.0,330,4,28,85.0,28.3
114,1,5,25.4,217,3,10,52.699999999999996,235,3,12,56.49999999999999,18.0
129,3,8,41.9,215,4,12,60.5,355,4,26,91.5,11.9
104,0,5,18.4,206,0,13,37.3,307,0,19,53.39999999999999,8.0
80,1,5,19.0,204,4,18,62.4,251,4,26,75.10000000000001,9.8
166,1,8,33.6,199,1,10,49.60000000000001,394,4,25,91.4,18.2
109,0,6,19.9,194,1,12,40.4,290,3,21,71.0,9.1
70,0,5,12.0,194,2,14,59.8,419,2,29,85.89999999999999,10.5
102,1,6,29.500000000000004,185,2,14,68.2,247,2,20,91.4,24.9
54,0,5,10.4,182,1,11,38.2,244,1,16,49.400000000000006,2.6
100,1,13,32.0,179,3,18,71.5,360,5,35,104.0,14.3
107,0,7,20.700000000000003,162,0,11,51.0,395,2,25,80.80000000000001,16.4
97,2,8,29.700000000000003,162,3,14,55.900000000000006,228,3,20,60.800000000000004,13.6
42,0,1,5.2,160,1,7,29.0,373,2,20,72.3,13.4
77,0,9,16.7,157,0,17,52.6,441,2,35,94.80000000000001,13.4
29,0,3,5.9,152,2,14,44.2,256,3,24,70.6,2.9
17,1,1,8.7,151,2,9,36.1,167,2,13,41.7,7.800000000000001
50,0,2,9.1,149,1,6,28.999999999999996,264,1,15,52.5,18.099999999999998
20,0,1,3.0,148,0,6,20.8,172,1,8,31.200000000000003,10.6
6,0,1,1.6,148,2,7,44.00000000000001,193,2,13,47.20000000000001,10.3
37,0,2,5.7,143,1,11,31.299999999999997,178,1,14,37.8,13.100000000000001
77,1,7,20.7,143,1,11,47.7,320,1,23,61.0,3.3000000000000003
68,1,4,16.8,139,1,8,27.900000000000002,202,2,13,45.2,18.5
54,0,6,11.4,135,0,13,47.1,306,1,29,66.30000000000001,10.5
60,1,6,18.0,134,2,12,66.0,459,4,32,107.9,21.3
75,0,4,11.5,133,0,8,48.7,378,2,30,85.8,3.8
18,1,3,10.8,132,2,12,37.2,234,2,22,57.400000000000006,3.8
50,1,4,15.0,129,2,7,31.900000000000002,334,3,21,75.4,8.7
57,0,5,10.7,122,1,10,35.0,311,2,27,70.1,4.1
13,0,3,5.2,117,0,10,23.2,215,1,15,45.300000000000004,5.8
78,0,4,11.8,117,1,6,32.400000000000006,202,1,13,39.2,10.799999999999999
57,0,6,11.7,116,1,10,28.7,184,2,18,49.5,3.9000000000000004
10,0,2,3.2,115,0,8,19.700000000000003,207,1,17,44.5,7.9
48,2,4,20.8,115,4,11,46.5,138,5,14,57.800000000000004,6.7
11,0,2,9.200000000000001,110,0,13,37.400000000000006,110,0,13,37.400000000000006,11.7
0,0,0,38.1,19,0,3,93.0,81,1,5,96.0,18.200000000000003
176,0,6,27.6,307,1,14,63.300000000000004,392,2,21,96.9,8.0
56,1,4,17.0,266,3,12,76.6,361,4,23,100.3,23.8
135,0,8,8.2,302,2,18,65.80000000000001,537,4,32,87.0,14.3
78,2,7,28.3,220,2,17,72.5,330,4,28,94.1,3.2
100,1,13,14.3,179,3,18,71.19999999999999,284,5,28,99.19999999999999,12.600000000000001
114,1,5,18.0,217,3,10,58.3,235,3,12,70.7,9.3
166,1,8,18.2,166,1,8,57.099999999999994,361,4,23,97.6,20.5
139,1,6,3.5,241,1,13,43.3,258,1,15,53.3,10.2
54,0,6,10.5,135,0,13,37.3,223,0,23,72.89999999999999,5.300000000000001
6,0,1,10.3,148,2,7,47.1,160,2,9,57.50000000000001,14.7
95,0,7,18.1,137,0,10,41.800000000000004,306,0,22,63.0,3.7
107,0,7,16.4,107,0,7,46.6,340,2,21,89.30000000000001,12.3
74,1,7,44.400000000000006,123,1,12,94.9,208,1,23,125.60000000000001,21.8
46,1,4,28.200000000000003,46,1,4,52.400000000000006,363,3,20,101.5,27.3
83,0,6,27.1,83,0,6,43.7,270,2,19,68.4,14.6
102,1,6,24.9,185,2,14,70.2,247,2,20,107.39999999999999,3.1
44,0,4,10.9,248,2,18,29.3,445,4,35,88.0,14.8
4,0,1,15.9,69,0,6,30.8,221,0,17,62.7,16.3
77,1,7,3.3000000000000003,143,1,11,34.6,226,1,16,64.3,11.7
94,0,6,27.6,95,0,7,44.1,205,1,13,98.6,16.8
17,1,1,7.800000000000001,151,2,9,36.2,167,2,13,48.10000000000001,2.5
68,1,4,18.5,139,1,8,38.4,202,2,13,53.5,4.9
0,0,0,18.099999999999998,0,0,0,29.299999999999997,0,0,0,29.299999999999997,4.6
45,0,4,25.1,71,0,7,39.2,116,1,10,48.800000000000004,1.9
0,0,0,34.3,43,1,3,57.7,211,3,17,91.50000000000001,11.0
52,1,4,7.7,107,1,10,34.4,251,3,22,57.1,14.9
0,0,0,21.3,74,1,6,58.699999999999996,399,3,26,94.0,35.7
37,1,4,17.5,37,1,4,38.6,165,3,18,58.300000000000004,12.2
